canonical_service,service_family,platform_count,platforms,raw_label_count
Clothesline Installation,Other / Unmapped,1,Airtasker,1
Clothing Repair,Other / Unmapped,1,Airtasker,1
Clown,Other / Unmapped,1,Airtasker,1
Clutch Replacement,Other / Unmapped,1,Airtasker,1
Clutches,Other / Unmapped,1,Checkatrade,1
Clwyd,Other / Unmapped,1,Rated People,1
Coaching,Other / Unmapped,1,Airtasker,1
Coat Repair,Other / Unmapped,1,Airtasker,1
Coffee Delivery,Other / Unmapped,1,Airtasker,1
Coffee Machine Repairs,Other / Unmapped,1,Airtasker,1
Coffee Shop Designers,Other / Unmapped,1,Airtasker,1
Coffee Table Repair,Other / Unmapped,1,Airtasker,1
Comedians,Other / Unmapped,1,Airtasker,1
Commercial Agents,Other / Unmapped,1,Checkatrade,1
Commercial Deliveries,Other / Unmapped,1,Checkatrade,1
Commercial Grass Cutting,Other / Unmapped,1,Checkatrade,1
Commercial Laundry,Other / Unmapped,1,Airtasker,1
Commercial Waste Collection,Other / Unmapped,1,Airtasker,1
Composite Decking,Other / Unmapped,1,Checkatrade,1
Computer Hardware,Other / Unmapped,1,Airtasker,1
Computer Maintenance,Other / Unmapped,1,Checkatrade,1
Computer Sales,Other / Unmapped,1,Checkatrade,1
Computer Support,Other / Unmapped,1,Airtasker,1
Computer Training,Other / Unmapped,1,Airtasker,1
Computer Training / Consultancy,Other / Unmapped,1,Checkatrade,1
Computer Upgrades,Other / Unmapped,1,Airtasker,1
Computers & IT,Other / Unmapped,1,Airtasker,1
Concrete Contractor,Other / Unmapped,1,Checkatrade,1
Concrete Cutting,Other / Unmapped,1,Airtasker,1
Concrete Delivery,Other / Unmapped,1,Airtasker,1
Concrete Garages,Other / Unmapped,1,Checkatrade,1
Concrete Resurfacing,Other / Unmapped,1,Airtasker,1
Condensation Control,Other / Unmapped,1,Checkatrade,1
Conservatory,Other / Unmapped,1,Rated People,1
Conservatory Blinds,Other / Unmapped,1,Checkatrade,1
Conservatory Blinds Installation,Other / Unmapped,1,Airtasker,1
Conservatory Glass Heat Reduction Film,Other / Unmapped,1,Checkatrade,1
Conservatory Installation,Other / Unmapped,1,Checkatrade,1
Console Repair,Other / Unmapped,1,Airtasker,1
Content Creation,Other / Unmapped,1,Airtasker,1
Cooker Hood Installation & Repair,Other / Unmapped,1,Airtasker,1
Cooking,Other / Unmapped,1,Airtasker,1
Cooktop Installation,Other / Unmapped,1,Airtasker,1
Copywriting,Other / Unmapped,1,Airtasker,1
Copywriting Services,Other / Unmapped,1,Bark,1
Core Drilling,Other / Unmapped,1,Checkatrade,1
Cornice Repair,Other / Unmapped,1,Airtasker,1
Cornwall,Other / Unmapped,1,Rated People,1
Corporate Filming,Other / Unmapped,1,Checkatrade,1
Cost guides,Other / Unmapped,1,Rated People,1
