borough_code,borough,ons_industry_group,local_unit_count
E09000029,Sutton,05-39 : Production,285
E09000029,Sutton,41-43 : Construction,1820
E09000029,Sutton,45 : Motor trades,205
E09000029,Sutton,46 : Wholesale,315
E09000029,Sutton,47 : Retail,780
E09000029,Sutton,49-53 : Transport & Storage (inc. postal),300
E09000029,Sutton,55-56 : Accommodation & food services,570
E09000029,Sutton,58-63 : Information & communication,990
E09000029,Sutton,64-66 : Finance & insurance,125
E09000029,Sutton,68 : Property,310
E09000029,Sutton,"69-75 : Professional, scientific & technical",1270
E09000029,Sutton,77-82 : Business administration & support services,800
E09000029,Sutton,84 : Public administration & defence,20
E09000029,Sutton,85 : Education,220
E09000029,Sutton,86-88 : Health,570
E09000029,Sutton,"90-99 : Arts, entertainment, recreation & other services",620
E09000030,Tower Hamlets,"01-03 : Agriculture, forestry & fishing",20
E09000030,Tower Hamlets,05-39 : Production,570
E09000030,Tower Hamlets,41-43 : Construction,1095
E09000030,Tower Hamlets,45 : Motor trades,180
E09000030,Tower Hamlets,46 : Wholesale,910
E09000030,Tower Hamlets,47 : Retail,1810
E09000030,Tower Hamlets,49-53 : Transport & Storage (inc. postal),510
E09000030,Tower Hamlets,55-56 : Accommodation & food services,1620
E09000030,Tower Hamlets,58-63 : Information & communication,2570
E09000030,Tower Hamlets,64-66 : Finance & insurance,660
E09000030,Tower Hamlets,68 : Property,1195
E09000030,Tower Hamlets,"69-75 : Professional, scientific & technical",3425
E09000030,Tower Hamlets,77-82 : Business administration & support services,1950
E09000030,Tower Hamlets,84 : Public administration & defence,70
E09000030,Tower Hamlets,85 : Education,615
E09000030,Tower Hamlets,86-88 : Health,825
E09000030,Tower Hamlets,"90-99 : Arts, entertainment, recreation & other services",1500
E09000031,Waltham Forest,"01-03 : Agriculture, forestry & fishing",15
E09000031,Waltham Forest,05-39 : Production,520
E09000031,Waltham Forest,41-43 : Construction,2245
E09000031,Waltham Forest,45 : Motor trades,230
E09000031,Waltham Forest,46 : Wholesale,545
E09000031,Waltham Forest,47 : Retail,1315
E09000031,Waltham Forest,49-53 : Transport & Storage (inc. postal),565
E09000031,Waltham Forest,55-56 : Accommodation & food services,840
E09000031,Waltham Forest,58-63 : Information & communication,1180
E09000031,Waltham Forest,64-66 : Finance & insurance,110
E09000031,Waltham Forest,68 : Property,445
E09000031,Waltham Forest,"69-75 : Professional, scientific & technical",1910
E09000031,Waltham Forest,77-82 : Business administration & support services,1085
E09000031,Waltham Forest,84 : Public administration & defence,20
E09000031,Waltham Forest,85 : Education,280
E09000031,Waltham Forest,86-88 : Health,580
E09000031,Waltham Forest,"90-99 : Arts, entertainment, recreation & other services",1070
E09000032,Wandsworth,"01-03 : Agriculture, forestry & fishing",25
E09000032,Wandsworth,05-39 : Production,445
E09000032,Wandsworth,41-43 : Construction,1205
E09000032,Wandsworth,45 : Motor trades,155
E09000032,Wandsworth,46 : Wholesale,645
E09000032,Wandsworth,47 : Retail,1590
E09000032,Wandsworth,49-53 : Transport & Storage (inc. postal),355
E09000032,Wandsworth,55-56 : Accommodation & food services,1245
E09000032,Wandsworth,58-63 : Information & communication,1690
E09000032,Wandsworth,64-66 : Finance & insurance,265
E09000032,Wandsworth,68 : Property,905
E09000032,Wandsworth,"69-75 : Professional, scientific & technical",3755
E09000032,Wandsworth,77-82 : Business administration & support services,1670
E09000032,Wandsworth,84 : Public administration & defence,40
E09000032,Wandsworth,85 : Education,435
E09000032,Wandsworth,86-88 : Health,900
E09000032,Wandsworth,"90-99 : Arts, entertainment, recreation & other services",1575
E09000033,Westminster,"01-03 : Agriculture, forestry & fishing",110
