platform,raw_service,geography_scope,source_url,source_type,collection_date,coverage_note,platform_key,service_key,comparison_key,source_version
Rated People,Gas Boiler - Repair,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,gas boiler - repair,rated people||gas boiler - repair,V2
Rated People,Gas Boiler - Service,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,gas boiler - service,rated people||gas boiler - service,V2
Rated People,Gas Cooker / Hob - Installation,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,gas cooker hob - installation,rated people||gas cooker hob - installation,V2
Rated People,Gas Cooker / Hob - Repair,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,gas cooker hob - repair,rated people||gas cooker hob - repair,V2
Rated People,Gas Fire,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,gas fire,rated people||gas fire,V2
Rated People,General Fitted Furniture,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,general fitted furniture,rated people||general fitted furniture,V2
Rated People,Groundwork / Foundations,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,groundwork foundations,rated people||groundwork foundations,V2
Rated People,Guttering and Rainwater Pipe,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,guttering and rainwater pipe,rated people||guttering and rainwater pipe,V2
Rated People,Heat Pump (Air source/ Ground Source),London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,heat pump air source ground source,rated people||heat pump air source ground source,V2
Rated People,Help & FAQs,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,help and faqs,rated people||help and faqs,V2
Rated People,Home Improvements,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,home improvements,rated people||home improvements,V2
Rated People,Home Maintenance / Repair,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,home maintenance repair,rated people||home maintenance repair,V2
Rated People,Hot Tub Installation / Repair,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,hot tub installation repair,rated people||hot tub installation repair,V2
Rated People,Hot Water Tank/Appliance Tank Thermostats,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,hot water tankappliance tank thermostats,rated people||hot water tankappliance tank thermostats,V2
Rated People,House Clearance,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,house clearance,rated people||house clearance,V2
Rated People,House Extension,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,house extension,rated people||house extension,V2
Rated People,House Removals,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,house removals,rated people||house removals,V2
Rated People,How it works,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,how it works,rated people||how it works,V2
Rated People,Internal Lighting,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,internal lighting,rated people||internal lighting,V2
Rated People,Internal Painting & Decorating,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,internal painting and decorating,rated people||internal painting and decorating,V2
Rated People,Internal Rendering,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,internal rendering,rated people||internal rendering,V2
Rated People,Jet / Power Washing,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,jet power washing,rated people||jet power washing,V2
Rated People,Kitchen Design / Installation,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,kitchen design installation,rated people||kitchen design installation,V2
Rated People,Kitchen Tiling,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,kitchen tiling,rated people||kitchen tiling,V2
Rated People,Kitchen Worktops - Stone,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,kitchen worktops - stone,rated people||kitchen worktops - stone,V2
