borough_code,borough,service_family,vendor_supply_proxy,ons_group_count,borough_supply_rank,borough_supply_percentile
E09000032,Wandsworth,Beauty & Skincare,900,1,13,63.6
E09000005,Brent,Beauty & Skincare,865,1,14,60.6
E09000010,Enfield,Beauty & Skincare,860,1,15,57.6
E09000030,Tower Hamlets,Beauty & Skincare,825,1,16,54.5
E09000011,Greenwich,Beauty & Skincare,785,1,17,51.5
E09000017,Hillingdon,Beauty & Skincare,765,1,18,48.5
E09000025,Newham,Beauty & Skincare,735,1,19,45.5
E09000023,Lewisham,Beauty & Skincare,710,1,20,42.4
E09000027,Richmond upon Thames,Beauty & Skincare,705,1,21,39.4
E09000020,Kensington and Chelsea,Beauty & Skincare,670,1,22,34.8
E09000024,Merton,Beauty & Skincare,670,1,22,34.8
E09000016,Havering,Beauty & Skincare,665,1,23,30.3
E09000014,Haringey,Beauty & Skincare,655,1,24,27.3
E09000018,Hounslow,Beauty & Skincare,645,1,25,24.2
E09000013,Hammersmith and Fulham,Beauty & Skincare,610,1,26,21.2
E09000031,Waltham Forest,Beauty & Skincare,580,1,27,18.2
E09000029,Sutton,Beauty & Skincare,570,1,28,15.2
E09000002,Barking and Dagenham,Beauty & Skincare,540,1,29,10.6
E09000004,Bexley,Beauty & Skincare,540,1,29,10.6
E09000021,Kingston upon Thames,Beauty & Skincare,525,1,30,6.1
E09000001,City of London,Beauty & Skincare,415,1,31,3.0
E09000033,Westminster,Beauty & Wellness,5495,1,1,100.0
E09000007,Camden,Beauty & Wellness,3760,1,2,97.0
E09000019,Islington,Beauty & Wellness,2150,1,3,93.9
E09000012,Hackney,Beauty & Wellness,2055,1,4,90.9
E09000003,Barnet,Beauty & Wellness,1825,1,5,87.9
E09000028,Southwark,Beauty & Wellness,1685,1,6,84.8
E09000032,Wandsworth,Beauty & Wellness,1575,1,7,81.8
E09000030,Tower Hamlets,Beauty & Wellness,1500,1,8,78.8
E09000022,Lambeth,Beauty & Wellness,1480,1,9,75.8
E09000014,Haringey,Beauty & Wellness,1450,1,10,72.7
E09000020,Kensington and Chelsea,Beauty & Wellness,1400,1,11,69.7
E09000009,Ealing,Beauty & Wellness,1350,1,12,66.7
E09000006,Bromley,Beauty & Wellness,1335,1,13,63.6
E09000013,Hammersmith and Fulham,Beauty & Wellness,1265,1,14,60.6
E09000027,Richmond upon Thames,Beauty & Wellness,1255,1,15,57.6
E09000005,Brent,Beauty & Wellness,1230,1,16,54.5
E09000008,Croydon,Beauty & Wellness,1180,1,17,51.5
E09000023,Lewisham,Beauty & Wellness,1175,1,18,48.5
E09000010,Enfield,Beauty & Wellness,1160,1,19,45.5
